image_path,callsign,altitude_ft,aircraft_type,origin_code,destination_code,nearest_location
data/FR24_baseline/2025-09/2025-09-10T13-41-37_2eaac8a5.png,,2400,,,,
data/FR24_baseline/2025-09/2025-09-10T13-41-43_0e043d6a.png,,2400,,,,
data/FR24_baseline/2025-09/2025-09-10T13-41-58_78ab73d7.png,,2400,,,,
data/FR24_baseline/2025-09/2025-09-10T13-42-01_868f88aa.png,,2400,,,,
data/FR24_baseline/2025-09/2025-09-10T13-42-10_9059daf7.png,,2400,,,,
data/FR24_baseline/2025-09/2025-09-10T13-43-17_26b4a5be.png,,2400,,,,
data/FR24_baseline/2025-09/2025-09-10T13-43-26_f4262400.png,,2400,,,,
data/FR24_baseline/2025-09/2025-09-10T13-43-34_0e4943e0.png,,2400,,,,
data/FR24_baseline/2025-09/2025-09-10T13-22-11_9117ee66.png,,475,,,,
data/FR24_baseline/2025-09/2025-09-10T13-38-00_7cf31452.png,,2675,,,,
data/FR24_baseline/2025-09/2025-09-10T13-38-07_17d6de27.png,,2675,,,,
data/FR24_baseline/2025-09/2025-09-10T13-38-29_83af5824.png,,2200,,,,
data/FR24_baseline/2025-09/2025-09-10T13-38-34_68e32a78.png,,2200,,,,
data/FR24_baseline/2025-09/2025-09-10T14-08-55_e2c92a4c.png,,1325,,,,
data/FR24_baseline/2025-09/2025-09-10T14-09-37_5a7d87dc.png,,1325,,,,
data/FR24_baseline/2025-09/2025-09-10T13-43-41_9bf83875.png,,2400,,,,
data/FR24_baseline/2025-09/2025-09-10T13-57-35_45054232.png,,1825,,,,
data/FR24_baseline/2025-09/2025-09-10T13-58-38_e7b937fe.png,,2100,,,,
data/FR24_baseline/2025-09/2025-09-11T13-33-45_47a47266.png,,1100,,,,
data/FR24_baseline/2025-09/2025-09-17T11-49-34_9e82d560.png,,0,,,,
data/FR24_baseline/2025-09/2025-09-17T11-50-19_730fb0b7.png,,0,,,,
data/FR24_baseline/2025-09/2025-09-17T11-50-27_ccb43b78.png,,0,,,,
data/FR24_baseline/2025-09/2025-09-17T11-50-36_e122ace0.png,,0,,,,
data/FR24_baseline/2025-09/2025-09-19T11-33-02_f3b3dd22.png,,0,,,,
data/FR24_baseline/2025-09/2025-09-19T12-27-25_0a963398.png,,525,,,,
data/FR24_baseline/2025-09/2025-09-19T12-27-30_7b01aeb0.png,,525,,,,
data/FR24_baseline/2025-09/2025-09-19T13-16-15_347095dd.png,,0,,,,
data/FR24_baseline/2025-09/2025-09-24T11-44-47_6e8453eb.png,,1550,,,,
data/FR24_baseline/2025-09/2025-09-24T11-45-06_0b680b45.png,,1550,,,,
data/FR24_baseline/2025-09/2025-09-24T11-45-23_f11b4a1f.png,,1550,,,,
data/FR24_baseline/2025-09/2025-09-24T11-45-33_f1efc73f.png,,1550,,,,
data/FR24_baseline/2025-09/2025-09-24T11-46-05_0caaede5.png,,1550,,,,
data/FR24_baseline/2025-09/2025-09-24T11-46-31_d43f1f7c.png,,1550,,,,
data/FR24_baseline/2025-09/2025-09-24T11-46-53_9c2c7a9c.png,,1550,,,,
data/FR24_baseline/2025-09/2025-09-24T11-47-08_9ec9878d.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-47-11_3e0a0e94.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-47-33_1ba8d1d0.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-47-36_e35a4331.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-47-41_1f110cd9.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-48-58_5bef442b.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-49-01_6207ab82.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-49-11_19d64f1f.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-49-26_732c8be6.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-50-54_68f20fb6.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-54-23_22bb1af9.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-54-39_edb5b0da.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-54-54_35b58edc.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-55-06_52c718e2.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-55-10_682da029.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-55-56_38df318b.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-56-00_e768d264.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-56-37_4505ed23.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-52-49_b9dc0f87.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-53-07_9db8b3e1.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-53-38_a631da46.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-53-46_dc9677a5.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-24T11-53-59_14a43d1c.png,,1075,,,,
data/FR24_baseline/2025-09/2025-09-27T20-05-26_5654d154.png,,600,,,,
data/FR24_baseline/2025-09/2025-09-27T20-05-52_4f791257.png,,625,,,,
data/FR24_baseline/2025-12/2025-12-22T14-08-45_a323f113.png,,6475,,,,
data/FR24_baseline/2025-12/2025-12-22T14-08-45_8ce0ee08.png,,6475,,,,
data/FR24_baseline/2025-12/2025-12-28T10-52-48_20a939b2.png,,2275,,,,
data/FR24_baseline/2025-12/2025-12-28T11-47-09_840d3e49.png,,6550,,,,
